ID,fake_path,real_path,comment
1,www/fake/fake1.jpg,,www/real/real1.jpg
2,www/fake/fake2.jpg,,www/real/real2.jpg
3,www/fake/fake3.jpg,,www/real/real3.jpg
4,www/fake/fake4.jpg,,www/real/real4.jpg
5,www/fake/fake5.jpg,,www/real/real5.jpg
6,www/fake/fake6.jpg,,www/real/real6.jpg
7,www/fake/fake7.jpg,,www/real/real7.jpg
8,www/fake/fake8.jpg,,www/real/real8.jpg
9,www/fake/fake9.jpg,,www/real/real9.jpg
10,www/fake/fake10.jpg,,www/real/real10.jpg
11,www/fake/fake11.jpg,,www/real/real11.jpg
12,www/fake/fake12.jpg,,www/real/real12.jpg
